149.171.126.1,20230,59.166.0.6,60050,tcp,FIN,0.06002,25096,1292,29,31,9,1,-,3233588.75,165144.9531,30,24,255,255,1641326075,1546801414,837,54,0,0,123.023091,3.726404,1421929250,1421929250,2.069655,2.581522,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,41456,59.166.0.3,13982,tcp,FIN,0.059814,16612,624,29,31,3,0,-,2098505.5,76503.82813,18,12,255,255,2615242515,2554769690,923,52,0,0,223.715627,6.606295,1421929266,1421929266,3.518471,5.391818,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,63641,59.166.0.2,19830,tcp,FIN,0.047575,27248,1040,29,31,9,0,-,4391045.5,166137.6719,24,20,255,255,3482753781,3377481592,1135,52,0,0,2.556083,2.728486,1421929314,1421929314,2.068478,2.473947,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,53,59.166.0.8,53262,udp,INT,0.000005,162,0,29,0,0,0,-,129600000,0,2,0,0,0,0,0,81,0,0,0,0,0,1421929334,1421929334,0.005,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,43228,59.166.0.1,45716,tcp,FIN,0.019019,8872,520,29,31,3,0,-,3524896,196855.7656,18,10,255,255,346248175,2476906800,493,52,0,0,123.10189,4.956288,1421929362,1421929362,1.118765,2.048222,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,,0
149.171.126.1,80,59.166.0.5,41355,tcp,FIN,0,331984,5980,29,31,112,0,-,1698629.875,30463.07422,231,115,255,255,1892778906,4003899569,1437,52,0,0,502.641377,19.725074,1421929804,1421929806,6.768565,13.651079,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,30945,59.166.0.2,52232,tcp,FIN,0.119878,59390,2444,29,31,23,0,-,3888620,159628.9531,53,47,255,255,1664250195,3802233508,1121,52,0,0,114.863065,3.056821,1421929983,1421929984,2.305346,2.593239,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,57380,59.166.0.2,29994,tcp,FIN,0.226087,36062,2408,29,32,15,2,-,1243344.375,83295.36719,39,44,255,255,2161031629,15362195,925,55,0,0,376.068994,10.821465,1421930027,1421930027,5.949658,4.885768,0,0,0,0,0,0,0,0,2,3,2,1,1,1,1,,0
149.171.126.1,18915,59.166.0.9,64848,tcp,FIN,0.08467,41832,2020,29,31,16,1,-,3864698.25,185850.9531,45,38,255,255,1890635807,1875364835,930,53,0,0,148.642598,4.706666,1421930030,1421930030,1.924318,2.269406,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,,0
149.171.126.1,80,59.166.0.0,14333,tcp,FIN,1.126018,6952,898,29,31,2,1,-,45278.13672,5584.279785,12,8,255,255,641406549,640397963,579,112,0,0,286.2545,345.083188,1421930035,1421930037,102.365273,160.637578,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,13417,59.166.0.7,34687,tcp,FIN,0.025651,21062,780,29,31,6,0,-,6240380.5,227047.6719,20,15,255,255,1817132380,1792914996,1053,52,0,0,97.341502,1.831657,1421930041,1421930041,1.350053,1.064929,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,58310,59.166.0.6,52939,tcp,FIN,0.055219,25142,1526,29,31,7,2,-,3517050.5,212680.4219,29,26,255,255,1410714022,3560042640,867,59,0,0,139.350809,140.731032,1421930051,1421930051,1.972107,2.1872,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,16578,59.166.0.4,21749,tcp,FIN,0.000891,2712,104,29,31,0,0,-,20291808,466891.1563,6,2,255,0,3889866323,1730727890,452,52,0,0,0.206881,0,1421930109,1421930109,0.1782,0.004,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,111,59.166.0.1,9380,udp,INT,0.000004,160,0,29,0,0,0,-,160000000,0,2,0,0,0,0,0,80,0,0,0,0,0,1421930171,1421930171,0.004,0,0,0,0,0,0,0,0,0,2,3,2,2,1,1,2,,0
149.171.126.1,10845,59.166.0.1,12081,tcp,FIN,0.326883,2216,2648,29,31,4,2,-,51541.37891,60180.55469,20,14,255,255,2373934624,2241407537,111,189,0,0,29.344615,34.854031,1421930171,1421930171,17.204369,25.098,0,0,0,0,0,0,0,0,2,3,2,2,1,1,2,,0
149.171.126.1,44499,59.166.0.5,10240,tcp,FIN,0.075881,11196,832,30,32,3,0,-,1089600.875,82234.03125,13,16,255,255,351514765,351280119,861,52,0,0,425.476524,4.849848,1421930776,1421930776,6.323417,4.6888,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,25,59.166.0.4,33589,tcp,FIN,0.02772,1700,9428,29,31,2,1,-,463492.0625,2526695.5,18,14,255,255,2724630474,573996314,94,673,0,0,4.080906,126.015216,1421930823,1421930823,1.630588,2.088,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,,0
149.171.126.1,22,59.166.0.9,10643,tcp,FIN,0.001788,568,512,29,31,0,1,-,2120805.5,2004474.25,6,8,255,255,3143861964,3139379803,95,64,0,0,0.669401,0.30004,1421930823,1421930823,0.3372,0.223857,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,,0
149.171.126.1,49994,59.166.0.0,7438,tcp,FIN,0.024175,14806,1466,29,31,7,3,-,4695760,464943.125,24,24,255,255,1168798137,3277067944,617,61,0,0,74.484838,75.117337,1421930863,1421930863,1.051087,1.026217,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,80,59.166.0.5,4612,tcp,FIN,1.00797,10056,898,29,31,2,1,-,74827.625,6238.28125,16,8,255,255,685473759,681872593,629,112,0,0,249.516406,349.625688,1421930905,1421930906,67.198,143.114719,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
149.171.126.1,43119,59.166.0.3,7469,tcp,FIN,0.016859,5720,312,29,31,0,0,-,2442849.5,123376.2344,10,6,255,255,258902357,2369132381,572,52,0,0,120.68814,2.521479,1421930944,1421930944,1.873222,1.618,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
